Дата,Рік,Квартал,Місяць,Назва_місяця,Продукт,Категорія,Регіон,Країна,Продажі,Кількість,Прибуток
2023-01-15,2023,1,1,Січень,Ноутбук,Комп'ютери,Київ,Україна,39374,24,10229
2023-01-15,2023,1,1,Січень,Ноутбук,Комп'ютери,Львів,Україна,106502,92,17572
2023-01-15,2023,1,1,Січень,Ноутбук,Комп'ютери,Одеса,Україна,70544,33,17469
2023-01-15,2023,1,1,Січень,Ноутбук,Комп'ютери,Харків,Україна,93302,11,24099
2023-01-15,2023,1,1,Січень,Ноутбук,Комп'ютери,Дніпро,Україна,93417,47,14023
2023-01-15,2023,1,1,Січень,Смартфон,Мобільні,Київ,Україна,81077,67,18543
2023-01-15,2023,1,1,Січень,Смартфон,Мобільні,Львів,Україна,50223,51,7885
2023-01-15,2023,1,1,Січень,Смартфон,Мобільні,Одеса,Україна,25021,89,4626
2023-01-15,2023,1,1,Січень,Смартфон,Мобільні,Харків,Україна,61350,60,12722
2023-01-15,2023,1,1,Січень,Смартфон,Мобільні,Дніпро,Україна,95483,73,21007
2023-01-15,2023,1,1,Січень,Планшет,Мобільні,Київ,Україна,98001,60,24700
2023-01-15,2023,1,1,Січень,Планшет,Мобільні,Львів,Україна,33689,98,9933
2023-01-15,2023,1,1,Січень,Планшет,Мобільні,Одеса,Україна,103365,18,15752
2023-01-15,2023,1,1,Січень,Планшет,Мобільні,Харків,Україна,47831,80,11551
2023-01-15,2023,1,1,Січень,Планшет,Мобільні,Дніпро,Україна,40874,56,7194
2023-01-15,2023,1,1,Січень,Навушники,Аксесуари,Київ,Україна,61512,45,10908
2023-01-15,2023,1,1,Січень,Навушники,Аксесуари,Львів,Україна,43402,15,7864
2023-01-15,2023,1,1,Січень,Навушники,Аксесуари,Одеса,Україна,80294,63,12421
2023-01-15,2023,1,1,Січень,Навушники,Аксесуари,Харків,Україна,101649,53,29572
2023-01-15,2023,1,1,Січень,Навушники,Аксесуари,Дніпро,Україна,57866,57,11514
2023-01-15,2023,1,1,Січень,Монітор,Комп'ютери,Київ,Україна,66436,96,15155
2023-01-15,2023,1,1,Січень,Монітор,Комп'ютери,Львів,Україна,83150,94,17320
2023-01-15,2023,1,1,Січень,Монітор,Комп'ютери,Одеса,Україна,103471,62,24627
2023-01-15,2023,1,1,Січень,Монітор,Комп'ютери,Харків,Україна,92074,69,21306
2023-01-15,2023,1,1,Січень,Монітор,Комп'ютери,Дніпро,Україна,63848,24,11159
2023-01-15,2023,1,1,Січень,Клавіатура,Аксесуари,Київ,Україна,75882,80,16201
2023-01-15,2023,1,1,Січень,Клавіатура,Аксесуари,Львів,Україна,90851,17,13702
2023-01-15,2023,1,1,Січень,Клавіатура,Аксесуари,Одеса,Україна,27783,90,7131
