Дата,Рік,Квартал,Місяць,Назва_місяця,Продукт,Категорія,Регіон,Країна,Продажі,Кількість,Прибуток
2025-01-15,2025,1,1,Січень,Ноутбук,Комп'ютери,Київ,Україна,103328,27,18980
2025-01-15,2025,1,1,Січень,Ноутбук,Комп'ютери,Львів,Україна,55661,68,12941
2025-01-15,2025,1,1,Січень,Ноутбук,Комп'ютери,Харків,Україна,129110,39,37344
2025-02-15,2025,1,2,Лютий,Ноутбук,Комп'ютери,Київ,Україна,41666,13,10762
2025-02-15,2025,1,2,Лютий,Ноутбук,Комп'ютери,Львів,Україна,121847,35,25432
2025-02-15,2025,1,2,Лютий,Ноутбук,Комп'ютери,Харків,Україна,118863,13,21062
2025-03-15,2025,1,3,Березень,Ноутбук,Комп'ютери,Київ,Україна,53379,69,9058
2025-03-15,2025,1,3,Березень,Ноутбук,Комп'ютери,Львів,Україна,39939,40,11518
2025-03-15,2025,1,3,Березень,Ноутбук,Комп'ютери,Харків,Україна,30860,39,4796
2025-04-15,2025,2,4,Квітень,Ноутбук,Комп'ютери,Київ,Україна,112112,72,25179
2025-04-15,2025,2,4,Квітень,Ноутбук,Комп'ютери,Львів,Україна,118087,30,20630
2025-04-15,2025,2,4,Квітень,Ноутбук,Комп'ютери,Харків,Україна,71705,24,12959
2025-05-15,2025,2,5,Травень,Ноутбук,Комп'ютери,Київ,Україна,128403,18,35035
2025-05-15,2025,2,5,Травень,Ноутбук,Комп'ютери,Львів,Україна,27251,92,7192
2025-05-15,2025,2,5,Травень,Ноутбук,Комп'ютери,Харків,Україна,61347,82,12494
2025-06-15,2025,2,6,Червень,Ноутбук,Комп'ютери,Київ,Україна,65421,31,18236
2025-06-15,2025,2,6,Червень,Ноутбук,Комп'ютери,Львів,Україна,87996,60,24102
2025-06-15,2025,2,6,Червень,Ноутбук,Комп'ютери,Харків,Україна,115137,80,28001
2025-07-15,2025,3,7,Липень,Ноутбук,Комп'ютери,Київ,Україна,65012,95,12232
2025-07-15,2025,3,7,Липень,Ноутбук,Комп'ютери,Львів,Україна,50232,70,11094
2025-07-15,2025,3,7,Липень,Ноутбук,Комп'ютери,Харків,Україна,52955,74,11521
2025-08-15,2025,3,8,Серпень,Ноутбук,Комп'ютери,Київ,Україна,83539,48,23479
2025-08-15,2025,3,8,Серпень,Ноутбук,Комп'ютери,Львів,Україна,39228,79,6593
2025-08-15,2025,3,8,Серпень,Ноутбук,Комп'ютери,Харків,Україна,91253,11,13848
2025-09-15,2025,3,9,Вересень,Ноутбук,Комп'ютери,Київ,Україна,70234,46,20605
2025-09-15,2025,3,9,Вересень,Ноутбук,Комп'ютери,Львів,Україна,26914,44,7623
2025-09-15,2025,3,9,Вересень,Ноутбук,Комп'ютери,Харків,Україна,37248,38,7198
2025-10-15,2025,4,10,Жовтень,Ноутбук,Комп'ютери,Київ,Україна,56148,90,15712
2025-10-15,2025,4,10,Жовтень,Ноутбук,Комп'ютери,Львів,Україна,88637,91,19191
2025-10-15,2025,4,10,Жовтень,Ноутбук,Комп'ютери,Харків,Україна,72834,57,21807
2025-11-15,2025,4,11,Листопад,Ноутбук,Комп'ютери,Київ,Україна,38439,39,11410
2025-11-15,2025,4,11,Листопад,Ноутбук,Комп'ютери,Львів,Україна,58669,28,11949
2025-11-15,2025,4,11,Листопад,Ноутбук,Комп'ютери,Харків,Україна,62999,83,14986
2025-12-15,2025,4,12,Грудень,Ноутбук,Комп'ютери,Київ,Україна,30426,80,8067
2025-12-15,2025,4,12,Грудень,Ноутбук,Комп'ютери,Львів,Україна,26708,22,5671
2025-12-15,2025,4,12,Грудень,Ноутбук,Комп'ютери,Харків,Україна,65727,96,15850
